station_id;date_from;date_to;altitude;latitude;longitude;name;state
3;1891-01-01;2011-03-31;202;50.7827;6.0941;Aachen;Nordrhein-Westfalen
98;1887-02-15;1954-12-31;780;51.189;8.4671;Altastenberg;Nordrhein-Westfalen
186;1880-01-01;1998-09-30;218;51.3773;8.0713;Arnsberg;Nordrhein-Westfalen
326;2004-07-01;2013-07-08;120;51.7204;8.0577;Beckum-Unterberg;Nordrhein-Westfalen
386;1973-07-01;1986-11-30;445;51.0454;8.3851;Berleburg, Bad;Nordrhein-Westfalen
390;1986-12-01;2020-02-26;610;50.9837;8.3683;Berleburg, Bad-Stünzel;Nordrhein-Westfalen
553;1954-01-01;1974-12-31;25;51.838;6.6107;Bocholt (Marienschule);Nordrhein-Westfalen
554;1947-01-01;2006-02-28;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
555;1940-01-01;2018-11-01;101;51.4789;7.2697;Bochum;Nordrhein-Westfalen
598;1949-01-01;1957-08-31;62;50.7285;7.0839;Bonn;Nordrhein-Westfalen
599;1932-01-01;1999-03-01;62;50.7055;7.1467;Bonn-Friesdorf;Nordrhein-Westfalen
601;1974-01-01;2003-10-31;158;50.6983;7.0356;Bonn-Hardthöhe;Nordrhein-Westfalen
603;1986-08-01;2020-02-24;144;50.729;7.2047;Königswinter-Heiderhof;Nordrhein-Westfalen
614;1951-01-01;2007-12-31;240;51.5709;9.312;Borgentreich-Bühne;Nordrhein-Westfalen
617;2004-06-01;2020-02-26;47;51.873;6.8863;Borken in Westfalen;Nordrhein-Westfalen
717;1937-01-01;2004-06-30;443;51.3873;8.5737;Brilon;Nordrhein-Westfalen
743;1975-01-01;2001-09-28;73;51.2;6.1333;Brüggen (Flugplatz);Nordrhein-Westfalen
781;1988-01-01;1994-03-31;221;51.6126;8.619;Bühren-Ahden;Nordrhein-Westfalen
950;1985-01-01;1993-02-28;194;51.95;8.9;Detmold;Nordrhein-Westfalen
1032;1950-01-01;1999-09-30;120;51.512;7.5345;Dortmund;Nordrhein-Westfalen
1035;1993-12-01;2000-11-30;122;51.5206;7.6161;Dortmund-Wickede;Nordrhein-Westfalen
1053;1937-01-01;2003-07-31;192;51.7337;9.0445;Driburg, Bad;Nordrhein-Westfalen
1078;1952-01-01;2020-02-26;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
1079;1935-01-01;1996-07-31;37;51.1998;6.7574;Düsseldorf-Südfriedhof;Nordrhein-Westfalen
1084;1994-05-01;2007-05-31;31;51.394;6.7026;Duisburg-Friemersheim;Nordrhein-Westfalen
1087;1951-01-01;1993-12-31;21;51.4634;6.7321;Duisburg-Laar;Nordrhein-Westfalen
1201;1947-07-01;2000-12-31;85;50.9281;6.5646;Elsdorf/Erftkreis;Nordrhein-Westfalen
1238;1951-01-01;1996-09-30;144;50.9884;7.425;Engelskirchen;Nordrhein-Westfalen
1246;2015-08-01;2020-02-26;104;51.8418;8.0607;Ennigerloh-Ostenfelde;Nordrhein-Westfalen
1300;1938-01-01;2020-02-26;351;51.254;8.1565;Eslohe;Nordrhein-Westfalen
1303;1935-01-01;2020-02-26;150;51.4041;6.9677;Essen-Bredeney;Nordrhein-Westfalen
1327;1937-01-01;2020-02-26;147;50.7119;6.7905;Weilerswist-Lommersum;Nordrhein-Westfalen
1572;1982-12-01;2020-02-26;80;50.9593;6.0392;Geilenkirchen (Flugplatz);Nordrhein-Westfalen
1590;1963-10-01;2020-02-26;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
1672;1974-01-01;1978-06-30;19;51.6833;6.1667;Goch;Nordrhein-Westfalen
1766;1982-01-01;2020-02-26;48;52.1344;7.6969;Münster/Osnabrück;Nordrhein-Westfalen
1891;1938-01-01;2002-03-31;73;51.8771;8.3577;Rheda-Wiedenbrück-Lintel;Nordrhein-Westfalen
1892;1975-06-01;2013-10-27;72;51.9298;8.3005;Gütersloh (Flugplatz);Nordrhein-Westfalen
1920;1978-06-01;2007-12-31;100;51.4129;7.4895;Hagen-Fley;Nordrhein-Westfalen
1922;1979-01-01;1986-02-28;111;51.3598;7.4717;Hagen (Stadtsparkasse);Nordrhein-Westfalen
2110;1963-01-01;2020-02-26;57;51.0411;6.1042;Heinsberg-Schleiden;Nordrhein-Westfalen
2147;1936-01-01;2007-12-31;77;52.1264;8.6865;Herford;Nordrhein-Westfalen
